epsilon,delta,acc,best_metric,genes_selection,network,fl_strategy,sample_rate,learning_rate,fl_rounds,batches_per_round,max_grad_norm,noise_multiplier
1.0461358795762505,0.0001,0.9444859813084112,accuracy,rotterdam,lr,walk,0.3,0.5,5,4,1.5,6.0
1.0960759237607807,0.0001,0.9446728971962617,accuracy,rotterdam,lr,walk,0.3,0.5,22,1,1.5,6.0
1.1084310959244021,0.0001,0.9465420560747664,accuracy,rotterdam,lr,walk,0.5,0.75,8,1,2.5,6
1.1225430179808247,0.0001,0.9471028037383178,accuracy,rotterdam,lr,walk,0.3,0.5,19,1,1.5,5.5
1.1293830872126076,0.0001,0.9472897196261683,accuracy,rotterdam,lr,walk,0.3,0.75,4,3,1.5,4.5
1.1433877101709868,0.0001,0.9493457943925233,accuracy,rotterdam,lr,walk,0.3,0.5,12,2,1.5,6.0
1.1513270571772622,0.0001,0.9508411214953271,accuracy,citbcmst,lr,walk,0.3,0.5,20,1,1.0,5.5
1.2051458300611517,0.0001,0.9508411214953271,accuracy,rotterdam,lr,walk,0.3,1.0,11,2,1,5.5
1.2141470406354324,0.0001,0.9519626168224299,accuracy,rotterdam,lr,walk,0.3,1.5,7,2,1,4.5
1.2320150636337004,0.0001,0.9521495327102804,accuracy,rotterdam,lr,walk,0.3,0.5,23,1,1.5,5.5
1.233258005244081,0.0001,0.9534579439252336,accuracy,rotterdam,lr,walk,0.3,1.5,28,1,0.5,6
1.2551657176958126,0.0001,0.9538317757009346,accuracy,citbcmst,lr,walk,0.3,0.75,29,1,0.5,6
1.2784634712813414,0.0001,0.9542056074766355,accuracy,rotterdam,lr,walk,0.3,1.25,5,4,1.0,5.0
1.2944325926970328,0.0001,0.9542056074766355,accuracy,rotterdam,lr,walk,0.5,1.0,11,1,1.5,6.0
1.3075211449746202,0.0001,0.9545794392523365,accuracy,rotterdam,lr,walk,0.3,0.5,26,1,1.5,5.5
1.3094925720883506,0.0001,0.9586915887850467,accuracy,citbcmst,lr,walk,0.3,1.25,21,1,0.5,5.0
1.3965911675938893,0.0001,0.9592523364485981,accuracy,rotterdam,lr,walk,0.3,0.75,24,1,1.0,5.0
1.403993320209885,0.0001,0.959626168224299,accuracy,citbcmst,lr,walk,0.3,1.0,19,1,0.5,4.5
1.4387220303934374,0.0001,0.9614953271028037,accuracy,rotterdam,lr,walk,0.3,1.25,4,5,1.0,4.5
1.4589103276839044,0.0001,0.9622429906542056,accuracy,citbcmst,lr,walk,0.5,1.5,2,7,0.5,6
1.505623240022571,0.0001,0.9654205607476636,accuracy,rotterdam,lr,walk,0.3,0.75,14,2,1,5.0
1.5715105888267995,0.0001,0.9661682242990655,accuracy,citbcmst,lr,walk,0.3,0.75,12,2,0.5,4.5
1.606692102507857,0.0001,0.9691588785046729,accuracy,citbcmst,lr,walk,0.5,0.75,17,1,1.0,6.0
1.6585367725906364,0.0001,0.9719626168224299,accuracy,citbcmst,lr,walk,0.5,0.5,3,5,1.5,5.5
1.742466531742246,0.0001,0.9742056074766355,accuracy,citbcmst,lr,walk,0.5,1.5,10,2,0.5,6
1.8166882709262584,0.0001,0.9745794392523365,accuracy,citbcmst,lr,walk,0.5,0.75,2,9,1.0,5.5
1.8659299853493434,0.0001,0.976822429906542,accuracy,citbcmst,lr,walk,0.5,1.25,19,1,0.5,5.5
1.9145586840718987,0.0001,0.9771962616822429,accuracy,citbcmst,lr,walk,0.5,0.5,2,10,1.0,5.5
1.987582644538291,0.0001,0.9779439252336448,accuracy,citbcmst,lr,walk,0.5,1.0,26,1,0.5,6
2.0260020710750943,0.0001,0.9788785046728972,accuracy,citbcmst,lr,walk,0.5,1.0,27,1,0.5,6
2.070135789327334,0.0001,0.9798130841121495,accuracy,citbcmst,lr,walk,0.5,1.5,3,5,0.5,4.5
2.0719599078029836,0.0001,0.9803738317757009,accuracy,citbcmst,lr,walk,0.5,1.25,19,1,0.5,5.0
2.098737158595101,0.0001,0.982803738317757,accuracy,citbcmst,lr,walk,0.5,1.25,12,2,0.5,5.5
2.307836211664921,0.0001,0.9837383177570094,accuracy,citbcmst,lr,walk,0.7,0.5,5,3,1.5,5.5
2.3719797161623206,0.0001,0.9842990654205608,accuracy,citbcmst,lr,walk,0.7,1.25,19,1,0.5,6.0
2.385718598903299,0.0001,0.9861682242990654,accuracy,citbcmst,lr,walk,0.7,1.5,8,2,0.5,5.5
2.5590776793888814,0.0001,0.9861682242990654,accuracy,citbcmst,lr,walk,0.7,1.25,22,1,0.5,6.0
2.607046037388354,0.0001,0.9863551401869158,accuracy,citbcmst,lr,walk,0.7,1.25,19,1,0.5,5.5
2.647138193218967,0.0001,0.9869158878504672,accuracy,citbcmst,lr,walk,0.7,0.5,4,4,1.5,5.0
2.735197006007329,0.0001,0.9872897196261682,accuracy,citbcmst,lr,walk,0.7,1.0,25,1,0.5,6
2.7759078461635696,0.0001,0.9876635514018691,accuracy,citbcmst,lr,walk,0.9,1.0,11,1,1,5.0
2.7803578151750115,0.0001,0.9885981308411215,accuracy,citbcmst,lr,walk,0.9,0.75,8,2,1,6
2.944077791261778,0.0001,0.9889719626168224,accuracy,citbcmst,lr,walk,0.7,0.5,12,2,1,5.5
2.956090056023008,0.0001,0.9895327102803738,accuracy,citbcmst,lr,walk,0.7,1.0,29,1,0.5,6
2.9593465329722286,0.0001,0.9910280373831776,accuracy,citbcmst,lr,walk,0.9,0.75,9,2,1,6
3.338589345794791,0.0001,0.991588785046729,accuracy,citbcmst,lr,walk,0.7,1.5,4,5,0.5,4.5
3.603234509151622,0.0001,0.9919626168224299,accuracy,citbcmst,lr,walk,0.7,0.75,18,1,1.0,4.0
3.6198483970920146,0.0001,0.9925233644859813,accuracy,citbcmst,lr,walk,0.9,1.5,11,2,0.5,5.5
4.003980527287198,0.0001,0.9925233644859813,accuracy,citbcmst,lr,walk,0.7,1.5,11,2,0.5,4.0
4.135658576662292,0.0001,0.9928971962616823,accuracy,citbcmst,lr,walk,0.7,1.5,15,2,0.5,4.5
4.2859632052032435,0.0001,0.9930841121495327,accuracy,citbcmst,lr,walk,0.9,0.5,10,2,1.5,4.5
4.722975425707365,0.0001,0.9938317757009346,accuracy,citbcmst,lr,walk,0.7,1.25,15,2,0.5,4.0
5.30102737406871,0.0001,0.9942056074766356,accuracy,citbcmst,lr,walk,0.7,1.25,28,1,0.5,3.5
6.383454500895596,0.0001,0.9945794392523365,accuracy,citbcmst,lr,walk,0.9,0.75,18,1,1.0,3.0
6.7705290560602585,0.0001,0.994766355140187,accuracy,citbcmst,lr,walk,0.9,0.5,10,2,2,3
9.299225285021413,0.0001,0.9949532710280374,accuracy,citbcmst,lr,walk,0.9,1.0,24,1,1,2.5
10.169190959013921,0.0001,0.9951401869158879,accuracy,citbcmst,lr,walk,0.9,0.75,28,1,1.5,2.5
10.359735046480335,0.0001,0.9951401869158879,accuracy,citbcmst,lr,walk,0.7,1.0,28,1,1.0,2
10.5879226491276,0.0001,0.9957009345794392,accuracy,citbcmst,lr,walk,0.9,0.5,15,2,2,2.5
20.08977207715849,0.0001,0.9958878504672897,accuracy,citbcmst,lr,walk,0.9,0.5,10,3,2,1.5
0.14439526368955674,0.00025,0.8904672897196262,accuracy,rotterdam,lr,walk,0.1,0.75,1,1,0.5,6.0
0.15086812404144948,0.00025,0.8910280373831776,accuracy,rotterdam,lr,walk,0.1,0.5,1,1,0.5,5.0
0.1550155331839195,0.00025,0.8957009345794392,accuracy,rotterdam,lr,walk,0.1,0.5,2,1,0.5,6.0
0.157220022779662,0.00025,0.8958878504672897,accuracy,rotterdam,lr,walk,0.1,1.0,1,1,0.5,4.5
0.167961253887705,0.00025,0.8962616822429906,accuracy,rotterdam,lr,walk,0.1,0.5,1,2,0.5,5.0
0.170383627531735,0.00025,0.8962616822429906,accuracy,rotterdam,lr,walk,0.1,0.75,1,1,0.5,4.0
0.17344982701582015,0.00025,0.8964485981308411,accuracy,rotterdam,lr,walk,0.1,0.5,1,3,0.5,5.5
0.17625607217264502,0.00025,0.8977570093457944,accuracy,rotterdam,lr,walk,0.1,0.5,1,4,0.5,6.0
0.19749661116137057,0.00025,0.8981308411214953,accuracy,rotterdam,lr,walk,0.1,0.5,3,2,0.5,6.0
0.26806743707654884,0.00025,0.8983177570093458,accuracy,rotterdam,lr,walk,0.1,0.5,2,3,0.5,4.5
0.31456367301147625,0.00025,0.8996261682242991,accuracy,rotterdam,lr,walk,0.1,0.5,3,6,0.5,6.0
0.3541045736042939,0.00025,0.9005607476635514,accuracy,rotterdam,lr,walk,0.1,0.5,15,1,0.5,5.0
0.37437283710879243,0.00025,0.9009345794392524,accuracy,rotterdam,lr,walk,0.1,0.75,13,1,0.5,4.5
0.3991883823540904,0.00025,0.9013084112149533,accuracy,rotterdam,lr,walk,0.1,0.75,3,5,0.5,4.5
0.4259264046176199,0.00025,0.9029906542056074,accuracy,rotterdam,lr,walk,0.1,0.5,14,2,0.5,5.5
0.4399831774671634,0.00025,0.9057943925233645,accuracy,rotterdam,lr,walk,0.1,0.5,24,1,0.5,5.0
0.45757034758908055,0.00025,0.9082242990654206,accuracy,rotterdam,lr,walk,0.1,1.0,5,3,0.5,4.0
0.47086586391846263,0.00025,0.908785046728972,accuracy,rotterdam,lr,walk,0.1,1.0,2,8,0.5,4.0
0.5205735883748946,0.00025,0.9089719626168224,accuracy,rotterdam,lr,walk,0.1,1.0,20,1,0.5,4.0
0.5492611157210262,0.00025,0.9114018691588784,accuracy,rotterdam,lr,walk,0.1,0.5,10,3,0.5,4.5
0.6012797741911406,0.00025,0.9117757009345794,accuracy,rotterdam,lr,walk,0.3,1.25,1,7,1.0,6.0
0.6086150860487056,0.00025,0.9147663551401869,accuracy,rotterdam,lr,walk,0.1,0.5,5,4,1.0,3.5
0.6350888387249953,0.00025,0.9170093457943925,accuracy,rotterdam,lr,walk,0.1,1.5,22,1,0.5,3.5
0.6627398685602017,0.00025,0.9173831775700935,accuracy,rotterdam,lr,walk,0.3,0.5,1,7,2.5,5.5
0.6762058324696829,0.00025,0.9194392523364486,accuracy,rotterdam,lr,walk,0.3,0.5,3,3,1.5,6.0
0.704964729881173,0.00025,0.922429906542056,accuracy,rotterdam,lr,walk,0.3,0.75,2,4,2.0,5.5
0.7106500521626038,0.00025,0.9237383177570093,accuracy,rotterdam,lr,walk,0.3,1.0,5,2,1.0,6.0
0.7327685666594053,0.00025,0.9239252336448598,accuracy,rotterdam,lr,walk,0.1,1.5,10,2,0.5,3
0.7447727286290491,0.00025,0.9242990654205607,accuracy,rotterdam,lr,walk,0.3,0.75,3,3,1.5,5.5
0.7751324136669768,0.00025,0.9327102803738317,accuracy,rotterdam,lr,walk,0.3,0.75,3,4,1.5,6.0
0.8289273798895032,0.00025,0.9328971962616822,accuracy,rotterdam,lr,walk,0.3,0.5,1,9,2.5,5.0
0.8342264956374205,0.00025,0.9349532710280374,accuracy,rotterdam,lr,walk,0.3,1.0,2,7,1.0,6.0
0.8532708421637073,0.00025,0.9379439252336449,accuracy,rotterdam,lr,walk,0.3,1.25,2,6,1.0,5.5
0.8626334647239203,0.00025,0.9386915887850468,accuracy,rotterdam,lr,walk,0.3,1.25,5,3,1.0,6.0
0.9163986837720246,0.00025,0.9403738317757009,accuracy,rotterdam,lr,walk,0.3,0.75,17,1,1.0,6.0
0.9789227296493775,0.00025,0.942803738317757,accuracy,rotterdam,lr,walk,0.3,1.0,8,2,1,5.5
0.9914959666084395,0.00025,0.9444859813084112,accuracy,rotterdam,lr,walk,0.3,0.5,5,4,1.5,6.0
1.038807753018646,0.00025,0.9446728971962617,accuracy,rotterdam,lr,walk,0.3,0.5,22,1,1.5,6.0
1.0505366433166494,0.00025,0.9465420560747664,accuracy,rotterdam,lr,walk,0.5,0.75,8,1,2.5,6
1.0634520805518952,0.00025,0.9471028037383178,accuracy,rotterdam,lr,walk,0.3,0.5,19,1,1.5,5.5
1.0682970384209973,0.00025,0.9472897196261683,accuracy,rotterdam,lr,walk,0.3,0.75,4,3,1.5,4.5
1.083709768769756,0.00025,0.9493457943925233,accuracy,rotterdam,lr,walk,0.3,0.5,12,2,1.5,6.0
